,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002352.SZ,20200824,72.5,73.78,71.35,72.97,71.61,1.3599999999999994,1.8992,151042.63,1097332.798
1,002352.SZ,20200821,69.21,72.33,68.48,71.61,69.13,2.480000000000004,3.5874,216590.43,1534045.691
2,002352.SZ,20200820,70.5,71.27,68.28,69.13,70.71,-1.5799999999999983,-2.2345,139837.87,971747.04
3,002352.SZ,20200819,68.7,72.8,68.67,70.71,68.64,2.069999999999993,3.0157,269700.88,1913471.421
4,002352.SZ,20200818,66.41,69.79,65.34,68.64,66.4,2.239999999999995,3.3735,232221.56,1576752.203
5,002352.SZ,20200817,66.5,67.16,65.77,66.4,66.2,0.20000000000000284,0.3021,180549.3,1199155.758
6,002352.SZ,20200814,65.5,66.99,64.82,66.2,64.98,1.2199999999999989,1.8775,147779.05,975448.691
7,002352.SZ,20200813,65.1,66.1,64.63,64.98,64.56,0.4200000000000017,0.6506,121181.49,791123.516
8,002352.SZ,20200812,66.0,66.2,62.97,64.56,66.08,-1.519999999999996,-2.3002,232955.69,1494753.083
9,002352.SZ,20200811,67.99,68.77,65.92,66.08,67.4,-1.3200000000000074,-1.9585,162755.2,1095024.501
10,002352.SZ,20200810,67.03,68.68,66.3,67.4,67.7,-0.29999999999999716,-0.4431,153623.68,1035067.815
11,002352.SZ,20200807,68.5,68.88,66.59,67.7,68.15,-0.45000000000000284,-0.6603,149943.9,1016238.182
12,002352.SZ,20200806,70.4,70.99,67.66,68.15,69.83,-1.6799999999999926,-2.4058,184258.7,1263093.158
13,002352.SZ,20200805,69.81,70.2,68.9,69.83,69.98,-0.15000000000000568,-0.2143,206648.93,1439522.41
14,002352.SZ,20200804,70.84,72.83,69.6,69.98,70.93,-0.9500000000000028,-1.3393,190906.29,1345614.99
15,002352.SZ,20200803,71.29,72.0,68.55,70.93,70.92,0.010000000000005116,0.0141,217060.04,1525040.698
16,002352.SZ,20200731,70.29,73.13,69.21,70.92,70.29,0.6299999999999955,0.8963,198865.16,1411844.562
17,002352.SZ,20200730,69.8,71.38,69.12,70.29,70.0,0.29000000000000625,0.4143,195371.7,1378691.169
18,002352.SZ,20200729,66.8,71.08,66.76,70.0,67.98,2.019999999999996,2.9715,268532.15,1861114.284
19,002352.SZ,20200728,68.0,68.5,66.77,67.98,67.29,0.6899999999999977,1.0254,196060.51,1324968.282
20,002352.SZ,20200727,64.8,68.23,64.41,67.29,63.55,3.740000000000009,5.8851,327500.52,2189688.985
21,002352.SZ,20200724,65.5,66.23,63.01,63.55,66.23,-2.680000000000007,-4.0465,235851.9,1518951.379
22,002352.SZ,20200723,66.1,67.84,65.51,66.23,67.22,-0.9899999999999949,-1.4728,198078.16,1311893.394
23,002352.SZ,20200722,67.75,69.17,66.8,67.22,67.62,-0.4000000000000057,-0.5915,205015.83,1397455.003
24,002352.SZ,20200721,66.12,69.15,66.06,67.62,65.3,2.3200000000000074,3.5528,282140.9,1909166.442
25,002352.SZ,20200720,64.8,66.85,64.19,65.3,63.33,1.9699999999999989,3.1107,227751.69,1492169.834
26,002352.SZ,20200717,64.03,65.0,62.59,63.33,63.67,-0.3400000000000034,-0.534,225331.75,1437405.202
27,002352.SZ,20200716,66.46,68.66,63.34,63.67,66.43,-2.760000000000005,-4.1547,296633.49,1953794.853
28,002352.SZ,20200715,66.1,67.3,65.3,66.43,65.72,0.710000000000008,1.0803,247429.98,1643300.977
29,002352.SZ,20200714,65.4,67.33,64.81,65.72,66.44,-0.7199999999999989,-1.0837,220222.2,1444390.108
30,002352.SZ,20200713,64.3,67.89,64.02,66.44,64.85,1.5900000000000034,2.4518,291736.08,1927565.414
31,002352.SZ,20200710,61.15,65.45,60.74,64.85,61.6,3.249999999999993,5.276,299884.31,1925988.592
32,002352.SZ,20200709,61.75,63.36,60.96,61.6,61.59,0.00999999999999801,0.0162,202366.66,1253888.146
33,002352.SZ,20200708,61.58,61.59,59.0,61.59,61.36,0.23000000000000398,0.3748,290564.68,1750008.529
34,002352.SZ,20200707,56.82,62.44,55.93,61.36,56.78,4.579999999999998,8.0662,393435.56,2362585.951
35,002352.SZ,20200706,56.6,57.42,55.8,56.78,56.23,0.5500000000000043,0.9781,364667.9,2064602.67
36,002352.SZ,20200703,55.7,56.25,54.91,56.23,55.52,0.7099999999999937,1.2788,213828.09,1190320.707
37,002352.SZ,20200702,55.55,56.85,54.88,55.52,55.18,0.3400000000000034,0.6162,334794.64,1864493.5
38,002352.SZ,20200701,54.6,55.85,53.35,55.18,54.7,0.4799999999999969,0.8775,260455.31,1414778.043
39,002352.SZ,20200630,55.12,55.57,54.38,54.7,54.7,0.0,0.0,160742.47,882711.36
40,002352.SZ,20200629,55.38,56.15,53.89,54.7,55.2,-0.5,-0.9058,150343.7,819433.532
41,002352.SZ,20200624,55.4,55.85,54.9,55.2,55.62,-0.4199999999999946,-0.7551,129738.54,718383.909
42,002352.SZ,20200623,55.0,56.42,54.58,55.62,54.4,1.2199999999999989,2.2426,236661.56,1309594.965
43,002352.SZ,20200622,56.0,56.12,53.71,54.4,55.99,-1.5900000000000034,-2.8398,220517.28,1200443.246
44,002352.SZ,20200619,56.2,56.66,55.7,55.99,55.97,0.020000000000003126,0.0357,182900.41,1028321.639
45,002352.SZ,20200618,55.28,56.0,54.73,55.97,55.6,0.36999999999999744,0.6655,136314.57,758923.544
46,002352.SZ,20200617,54.99,56.33,54.95,55.6,54.99,0.6099999999999994,1.1093,138134.11,767455.92
47,002352.SZ,20200616,56.0,56.07,54.45,54.99,55.0,-0.00999999999999801,-0.0182,152101.72,835721.215
48,002352.SZ,20200615,53.48,56.14,53.48,55.0,53.29,1.7100000000000009,3.2089,223017.89,1233961.321
