,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600999.SH,20200824,21.79,21.98,21.64,21.89,21.8,0.09,0.4128,345035.38,752493.987
1,601162.SH,20200824,7.08,7.08,6.96,7.0,7.06,-0.06,-0.8499,594874.28,416685.777
2,601990.SH,20200824,15.75,15.8,15.59,15.64,15.65,-0.01,-0.0639,268926.59,421273.121
3,601377.SH,20200824,8.23,8.25,8.1,8.15,8.32,-0.17,-2.0433,794475.6,648753.472
4,000166.SZ,20200824,5.72,5.76,5.66,5.69,5.72,-0.03,-0.5245,735476.78,419873.26
5,600369.SH,20200824,5.85,5.85,5.73,5.74,5.86,-0.12,-2.0478,512820.38,296085.322
6,000686.SZ,20200824,10.78,10.8,10.64,10.68,10.74,-0.06,-0.5587,197379.68,211334.708
7,601211.SH,20200824,19.65,19.75,19.32,19.39,19.54,-0.15,-0.7677,434477.86,849775.724
8,601696.SH,20200824,30.68,30.79,30.0,30.25,30.67,-0.42,-1.3694,139336.57,421343.802
9,000712.SZ,20200824,14.68,14.97,14.61,14.76,14.84,-0.08,-0.5391,294269.78,434952.499
10,000728.SZ,20200824,11.26,11.27,10.81,10.88,11.26,-0.38,-3.3748,524812.4,574921.374
11,600621.SH,20200824,22.7,22.7,21.92,22.03,22.5,-0.47,-2.0889,267452.32,592560.591
12,601375.SH,20200824,5.93,5.97,5.81,5.86,5.94,-0.08,-1.3468,270438.31,158905.721
13,000750.SZ,20200824,5.75,5.78,5.62,5.67,5.82,-0.15,-2.5773,1479731.87,840400.091
14,601901.SH,20200824,8.94,9.02,8.88,8.95,8.93,0.02,0.224,332846.84,297631.35
15,000776.SZ,20200824,15.89,16.11,15.78,15.89,15.83,0.06,0.379,416663.66,665147.947
16,601555.SH,20200824,10.58,10.67,10.48,10.49,10.54,-0.05,-0.4744,393449.09,415507.098
17,000783.SZ,20200824,8.65,8.69,8.53,8.57,8.64,-0.07,-0.8102,296871.48,255351.152
18,002500.SZ,20200824,8.3,8.33,8.21,8.23,8.29,-0.06,-0.7238,234887.86,193719.505
19,601066.SH,20200824,54.43,54.58,53.25,53.59,53.89,-0.3,-0.5567,249166.39,1339760.017
20,002670.SZ,20200824,10.39,10.43,10.2,10.31,10.38,-0.07,-0.6744,160891.16,165602.338
21,601788.SH,20200824,22.21,22.21,21.7,21.82,22.08,-0.26,-1.1775,459499.92,1007889.261
22,002673.SZ,20200824,9.86,9.88,9.72,9.77,9.81,-0.04,-0.4077,191765.68,187592.873
23,600864.SH,20200824,7.5,7.5,7.35,7.37,7.56,-0.19,-2.5132,252752.09,187248.789
24,601198.SH,20200824,13.58,13.66,13.43,13.46,13.58,-0.12,-0.8837,165680.66,224434.531
25,600918.SH,20200824,16.48,16.54,16.2,16.35,16.43,-0.08,-0.4869,267286.69,437599.81
26,002736.SZ,20200824,15.07,15.08,14.61,14.67,15.0,-0.33,-2.2,331074.52,489038.129
27,601099.SH,20200824,4.67,4.67,4.37,4.41,4.75,-0.34,-7.1579,7244945.14,3233096.349
28,002797.SZ,20200824,11.2,11.25,10.88,11.15,11.09,0.06,0.541,1480710.72,1640849.476
29,002926.SZ,20200824,13.29,13.29,12.91,12.93,13.11,-0.18,-1.373,326067.61,424695.963
30,002939.SZ,20200824,14.33,14.36,14.18,14.21,14.29,-0.08,-0.5598,251691.41,359074.677
31,002945.SZ,20200824,15.98,15.98,15.68,15.79,15.77,0.02,0.1268,78121.96,123347.392
32,601108.SH,20200824,15.14,15.19,14.76,14.9,15.14,-0.24,-1.5852,731356.22,1092731.259
33,601881.SH,20200824,13.32,13.68,13.3,13.52,13.31,0.21,1.5778,554837.97,750537.34
34,300059.SZ,20200824,26.5,26.59,25.14,25.93,26.15,-0.22,-0.8413,3346691.98,8649847.093
35,600030.SH,20200824,32.05,32.23,31.71,31.8,31.92,-0.12,-0.3759,1063783.73,3397786.868
36,601688.SH,20200824,21.19,21.42,21.12,21.23,21.22,0.01,0.0471,531289.51,1130315.609
37,601878.SH,20200824,15.27,15.37,14.74,14.98,15.28,-0.3,-1.9634,699603.58,1046527.46
38,600061.SH,20200824,14.81,14.91,14.68,14.74,14.82,-0.08,-0.5398,152136.97,224995.771
39,600909.SH,20200824,9.07,9.08,8.7,8.82,9.0,-0.18,-2.0,937003.0,825301.139
40,601236.SH,20200824,22.16,22.28,21.77,21.92,22.18,-0.26,-1.1722,152781.97,335233.47
41,600095.SH,20200824,16.75,17.39,16.59,16.73,17.1,-0.37,-2.1637,561984.62,947693.549
42,600155.SH,20200824,13.95,13.95,13.65,13.65,13.96,-0.31,-2.2206,201511.63,276827.249
43,601456.SH,20200824,16.55,16.66,16.1,16.43,16.85,-0.42,-2.4926,934447.6,1530278.685
44,600109.SH,20200824,14.48,14.68,14.33,14.52,14.46,0.06,0.4149,385505.93,560021.867
