,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000166.SZ,20200825,5.71,5.79,5.66,5.7,5.69,0.01,0.1757,994634.65,569290.406
1,000686.SZ,20200825,10.7,10.93,10.62,10.65,10.68,-0.03,-0.2809,294430.33,316817.713
2,000712.SZ,20200825,14.88,15.24,14.81,14.91,14.76,0.15,1.0163,223953.69,336420.205
3,000728.SZ,20200825,10.95,11.21,10.85,10.91,10.88,0.03,0.2757,432591.14,476522.18
4,000750.SZ,20200825,5.68,5.73,5.58,5.62,5.67,-0.05,-0.8818,1067915.99,603532.6410000001
5,000776.SZ,20200825,15.94,16.06,15.72,15.73,15.89,-0.16,-1.0069,392682.73,623855.269
6,000783.SZ,20200825,8.6,8.7,8.5,8.53,8.57,-0.04,-0.4667,350588.48,301347.424
7,002500.SZ,20200825,8.26,8.37,8.21,8.23,8.23,0.0,0.0,277745.23,229796.265
8,002670.SZ,20200825,10.35,10.48,10.26,10.45,10.31,0.14,1.3579,243582.12,253140.497
9,002673.SZ,20200825,9.77,9.93,9.66,9.72,9.77,-0.05,-0.5118,240613.36,235165.486
10,002736.SZ,20200825,14.76,14.87,14.3,14.44,14.67,-0.23,-1.5678,359117.2,523043.396
11,002797.SZ,20200825,11.06,11.3,10.83,10.91,11.15,-0.24,-2.1525,1639347.64,1811771.681
12,002926.SZ,20200825,12.99,13.16,12.8,12.89,12.93,-0.04,-0.3094,328795.13,427170.933
13,002939.SZ,20200825,14.27,14.39,14.09,14.15,14.21,-0.06,-0.4222,242795.68,345628.11600000004
14,002945.SZ,20200825,15.82,15.94,15.6,15.63,15.79,-0.16,-1.0133,114062.93,179680.716
15,300059.SZ,20200825,25.88,27.5,25.88,26.45,25.93,0.52,2.0054,4593401.46,12230663.383
16,600030.SH,20200825,31.99,32.45,31.6,31.68,31.8,-0.12,-0.3774,1254941.24,4012664.289
17,600061.SH,20200825,14.85,15.05,14.7,14.77,14.74,0.03,0.2035,176682.99,262838.35
18,600095.SH,20200825,16.59,17.33,16.15,16.33,16.73,-0.4,-2.3909,539439.4,900233.1579999998
19,600109.SH,20200825,14.66,15.08,14.61,14.64,14.52,0.12,0.8264,660467.67,978537.387
20,600155.SH,20200825,13.68,13.83,13.52,13.59,13.65,-0.06,-0.4396,169062.47,230930.656
21,600369.SH,20200825,5.77,5.82,5.6,5.63,5.74,-0.11,-1.9164,586285.8,334462.24600000004
22,600621.SH,20200825,22.06,22.43,21.56,21.7,22.03,-0.33,-1.4980000000000002,239919.65,525967.163
23,600837.SH,20200825,15.28,15.42,15.06,15.08,15.2,-0.12,-0.7895,641691.71,975911.218
24,600864.SH,20200825,7.4,7.46,7.28,7.31,7.37,-0.06,-0.8141,210901.75,155120.485
25,600909.SH,20200825,8.81,9.22,8.77,8.88,8.82,0.06,0.6803,1250700.75,1130444.627
26,600918.SH,20200825,16.35,16.6,16.27,16.35,16.35,0.0,0.0,309155.92,507220.359
27,600958.SH,20200825,12.08,12.26,11.94,11.96,12.11,-0.15,-1.2386,435828.14,526828.128
28,600999.SH,20200825,21.83,22.15,21.18,21.23,21.89,-0.66,-3.0151,477426.61,1031788.393
29,601066.SH,20200825,53.36,54.39,51.98,52.06,53.59,-1.53,-2.855,435064.9,2311762.909
30,601099.SH,20200825,4.38,4.46,4.22,4.26,4.41,-0.15,-3.4014,4808847.17,2084933.401
31,601108.SH,20200825,14.9,15.15,14.66,14.7,14.9,-0.2,-1.3423,854436.08,1271335.405
32,601162.SH,20200825,7.04,7.09,6.93,6.96,7.0,-0.04,-0.5714,739397.41,517943.816
33,601198.SH,20200825,13.53,13.71,13.39,13.41,13.46,-0.05,-0.3715,162602.15,220285.753
34,601211.SH,20200825,19.46,19.67,19.32,19.45,19.39,0.06,0.3094,407597.06,793955.025
35,601236.SH,20200825,22.07,22.24,21.36,21.39,21.92,-0.53,-2.4179,216118.96,470602.781
36,601375.SH,20200825,5.86,5.94,5.79,5.81,5.86,-0.05,-0.8532,236062.81,138311.77599999998
37,601377.SH,20200825,8.15,8.26,8.07,8.1,8.15,-0.05,-0.6135,692122.73,564410.494
38,601456.SH,20200825,16.41,17.21,16.18,17.0,16.43,0.57,3.4693,1399865.52,2338486.12
39,601555.SH,20200825,10.6,11.14,10.56,10.75,10.49,0.26,2.4786,994253.67,1086109.552
40,601688.SH,20200825,21.24,21.46,21.08,21.14,21.23,-0.09,-0.4239,503929.81,1071907.263
41,601696.SH,20200825,30.26,31.08,29.9,29.95,30.25,-0.3,-0.9917,176814.06,538537.7779999999
42,601788.SH,20200825,21.94,22.37,21.53,21.53,21.82,-0.29,-1.3291,579404.39,1272828.113
43,601878.SH,20200825,14.96,15.13,14.6,14.7,14.98,-0.28,-1.8692,663676.77,988508.369
44,601881.SH,20200825,13.62,13.77,13.31,13.36,13.52,-0.16,-1.1834,417825.46,566320.3829999999
45,601901.SH,20200825,8.95,9.07,8.84,8.86,8.95,-0.09,-1.0056,326899.81,292553.097
46,601990.SH,20200825,15.69,15.83,15.45,15.48,15.64,-0.16,-1.023,384687.68,601227.6429999999
47,000166.SZ,20200824,5.72,5.76,5.66,5.69,5.72,-0.03,-0.5245,735476.78,419873.26
48,000686.SZ,20200824,10.78,10.8,10.64,10.68,10.74,-0.06,-0.5587,197379.68,211334.708
49,000712.SZ,20200824,14.68,14.97,14.61,14.76,14.84,-0.08,-0.5391,294269.78,434952.499
50,000728.SZ,20200824,11.26,11.27,10.81,10.88,11.26,-0.38,-3.3748,524812.4,574921.374
51,000750.SZ,20200824,5.75,5.78,5.62,5.67,5.82,-0.15,-2.5773,1479731.87,840400.0909999999
52,000776.SZ,20200824,15.89,16.11,15.78,15.89,15.83,0.06,0.379,416663.66,665147.947
53,000783.SZ,20200824,8.65,8.69,8.53,8.57,8.64,-0.07,-0.8102,296871.48,255351.152
54,002500.SZ,20200824,8.3,8.33,8.21,8.23,8.29,-0.06,-0.7238,234887.86,193719.505
55,002670.SZ,20200824,10.39,10.43,10.2,10.31,10.38,-0.07,-0.6744,160891.16,165602.33800000002
56,002673.SZ,20200824,9.86,9.88,9.72,9.77,9.81,-0.04,-0.4077,191765.68,187592.873
57,002736.SZ,20200824,15.07,15.08,14.61,14.67,15.0,-0.33,-2.2,331074.52,489038.129
58,002797.SZ,20200824,11.2,11.25,10.88,11.15,11.09,0.06,0.541,1480710.72,1640849.476
59,002926.SZ,20200824,13.29,13.29,12.91,12.93,13.11,-0.18,-1.3730000000000002,326067.61,424695.963
60,002939.SZ,20200824,14.33,14.36,14.18,14.21,14.29,-0.08,-0.5598,251691.41,359074.677
61,002945.SZ,20200824,15.98,15.98,15.68,15.79,15.77,0.02,0.1268,78121.96,123347.392
62,300059.SZ,20200824,26.5,26.59,25.14,25.93,26.15,-0.22,-0.8413,3346691.98,8649847.093
63,600030.SH,20200824,32.05,32.23,31.71,31.8,31.92,-0.12,-0.3759,1063783.73,3397786.868
64,600061.SH,20200824,14.81,14.91,14.68,14.74,14.82,-0.08,-0.5398,152136.97,224995.771
65,600095.SH,20200824,16.75,17.39,16.59,16.73,17.1,-0.37,-2.1637,561984.62,947693.549
66,600109.SH,20200824,14.48,14.68,14.33,14.52,14.46,0.06,0.4149,385505.93,560021.8670000001
67,600155.SH,20200824,13.95,13.95,13.65,13.65,13.96,-0.31,-2.2206,201511.63,276827.249
68,600369.SH,20200824,5.85,5.85,5.73,5.74,5.86,-0.12,-2.0478,512820.38,296085.322
69,600621.SH,20200824,22.7,22.7,21.92,22.03,22.5,-0.47,-2.0889,267452.32,592560.591
70,600837.SH,20200824,15.32,15.43,15.18,15.2,15.32,-0.12,-0.7833,589279.42,902265.31
71,600864.SH,20200824,7.5,7.5,7.35,7.37,7.56,-0.19,-2.5132,252752.09,187248.789
72,600909.SH,20200824,9.07,9.08,8.7,8.82,9.0,-0.18,-2.0,937003.0,825301.1390000002
73,600918.SH,20200824,16.48,16.54,16.2,16.35,16.43,-0.08,-0.4869,267286.69,437599.81
74,600958.SH,20200824,12.21,12.42,12.08,12.11,12.1,0.01,0.0826,455225.09,556953.639
75,600999.SH,20200824,21.79,21.98,21.64,21.89,21.8,0.09,0.4128,345035.38,752493.9870000002
76,601066.SH,20200824,54.43,54.58,53.25,53.59,53.89,-0.3,-0.5567,249166.39,1339760.017
77,601099.SH,20200824,4.67,4.67,4.37,4.41,4.75,-0.34,-7.1579,7244945.14,3233096.349
78,601108.SH,20200824,15.14,15.19,14.76,14.9,15.14,-0.24,-1.5852,731356.22,1092731.259
79,601162.SH,20200824,7.08,7.08,6.96,7.0,7.06,-0.06,-0.8499,594874.28,416685.777
80,601198.SH,20200824,13.58,13.66,13.43,13.46,13.58,-0.12,-0.8837,165680.66,224434.531
81,601211.SH,20200824,19.65,19.75,19.32,19.39,19.54,-0.15,-0.7677,434477.86,849775.724
82,601236.SH,20200824,22.16,22.28,21.77,21.92,22.18,-0.26,-1.1722,152781.97,335233.47
83,601375.SH,20200824,5.93,5.97,5.81,5.86,5.94,-0.08,-1.3468,270438.31,158905.721
84,601377.SH,20200824,8.23,8.25,8.1,8.15,8.32,-0.17,-2.0433,794475.6,648753.4720000001
85,601456.SH,20200824,16.55,16.66,16.1,16.43,16.85,-0.42,-2.4926,934447.6,1530278.685
86,601555.SH,20200824,10.58,10.67,10.48,10.49,10.54,-0.05,-0.4744,393449.09,415507.098
87,601688.SH,20200824,21.19,21.42,21.12,21.23,21.22,0.01,0.0471,531289.51,1130315.6090000002
88,601696.SH,20200824,30.68,30.79,30.0,30.25,30.67,-0.42,-1.3694,139336.57,421343.802
89,601788.SH,20200824,22.21,22.21,21.7,21.82,22.08,-0.26,-1.1775,459499.92,1007889.261
90,601878.SH,20200824,15.27,15.37,14.74,14.98,15.28,-0.3,-1.9634,699603.58,1046527.46
91,601881.SH,20200824,13.32,13.68,13.3,13.52,13.31,0.21,1.5778,554837.97,750537.34
