,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000712.SZ,20200825,14.88,15.24,14.81,14.91,14.76,0.15,1.0163,223953.69,336420.205
1,000712.SZ,20200824,14.68,14.97,14.61,14.76,14.84,-0.08,-0.5391,294269.78,434952.499
2,000712.SZ,20200821,14.67,15.3,14.63,14.84,15.7,-0.86,-5.4777,593401.75,880367.985
3,000712.SZ,20200820,15.7,15.7,15.7,15.7,17.44,-1.74,-9.9771,57455.0,90204.35
4,000712.SZ,20200819,17.9,18.08,17.44,17.44,18.05,-0.61,-3.3795,204424.34,361881.328
5,000712.SZ,20200818,17.8,18.19,17.7,18.05,17.88,0.17,0.9508,198060.87,355929.122
6,000712.SZ,20200817,17.35,18.15,17.28,17.88,17.15,0.73,4.2566,254940.74,452883.331
7,000712.SZ,20200814,16.96,17.21,16.75,17.15,16.96,0.19,1.1203,124311.36,211257.332
8,000712.SZ,20200813,17.28,17.5,16.83,16.96,17.18,-0.22,-1.2806,165871.28,283490.994
9,000712.SZ,20200812,17.0,17.6,16.7,17.18,17.05,0.13,0.7625,194671.0,334191.35
10,000712.SZ,20200811,17.67,18.0,17.01,17.05,17.74,-0.69,-3.8895,225892.88,395955.227
11,000712.SZ,20200810,17.44,18.17,17.3,17.74,17.69,0.05,0.2826,249489.73,443658.466
12,000712.SZ,20200807,18.3,18.3,17.5,17.69,18.74,-1.05,-5.603,356827.04,634969.93
13,000712.SZ,20200806,18.46,19.2,17.81,18.74,19.4,-0.66,-3.4021,543762.34,999449.749
14,000712.SZ,20200805,18.95,20.18,18.55,19.4,18.5,0.9,4.8649,599593.91,1162374.183
15,000712.SZ,20200804,19.11,19.9,18.21,18.5,19.17,-0.67,-3.495,565923.28,1075225.72
16,000712.SZ,20200803,19.3,20.19,18.95,19.17,18.62,0.55,2.9538,765330.68,1487374.399
17,000712.SZ,20200731,16.82,18.62,16.82,18.62,16.93,1.69,9.9823,646576.28,1187110.633
18,000712.SZ,20200730,15.89,17.6,15.79,16.93,16.0,0.93,5.8125,427969.67,716379.096
19,000712.SZ,20200729,15.2,16.15,15.12,16.0,15.41,0.59,3.8287,206357.58,326075.331
20,000712.SZ,20200728,15.44,15.75,15.27,15.41,15.2,0.21,1.3816,143233.78,222105.805
21,000712.SZ,20200727,15.45,15.63,15.01,15.2,15.3,-0.1,-0.6536,153400.47,235365.911
22,000712.SZ,20200724,16.55,16.74,15.17,15.3,16.72,-1.42,-8.4928,354862.61,565125.889
23,000712.SZ,20200723,16.2,17.08,16.16,16.72,16.32,0.4,2.451,374312.77,622494.298
24,000712.SZ,20200722,16.24,16.93,16.08,16.32,16.48,-0.16,-0.9709,358933.81,592018.979
25,000712.SZ,20200721,15.82,16.88,15.68,16.48,15.81,0.67,4.2378,346326.79,558026.373
26,000712.SZ,20200720,15.65,16.25,15.41,15.81,15.04,0.77,5.1197,275302.45,434564.24
27,000712.SZ,20200717,15.34,15.57,14.78,15.04,15.25,-0.21,-1.377,268844.39,408721.39
28,000712.SZ,20200716,15.79,16.44,15.18,15.25,15.79,-0.54,-3.4199,379889.75,607572.662
29,000712.SZ,20200715,16.7,16.84,15.77,15.79,16.56,-0.77,-4.6498,351641.91,567897.214
30,000712.SZ,20200714,16.59,16.99,16.12,16.56,16.52,0.04,0.2421,372191.46,618802.079
31,000712.SZ,20200713,16.8,16.86,15.83,16.52,16.5,0.02,0.1212,434104.05,710516.18
32,000712.SZ,20200710,15.52,17.38,15.52,16.5,15.8,0.7,4.4304,462143.79,771301.317
33,000712.SZ,20200709,15.55,16.3,15.4,15.8,15.82,-0.02,-0.1264,460253.4,731992.083
34,000712.SZ,20200708,14.65,16.09,14.65,15.82,14.76,1.06,7.1816,521567.67,809734.096
35,000712.SZ,20200707,15.3,15.31,14.65,14.76,15.46,-0.7,-4.5278,446969.36,669079.115
36,000712.SZ,20200706,14.72,15.65,14.44,15.46,14.3,1.16,8.1119,522275.07,788987.157
37,000712.SZ,20200703,13.5,14.5,13.38,14.3,13.33,0.97,7.2768,433388.85,598511.114
38,000712.SZ,20200702,12.54,13.49,12.5,13.33,12.6,0.73,5.7937,300120.58,391043.429
39,000712.SZ,20200701,12.49,12.6,12.33,12.6,12.5,0.1,0.8,128891.97,160934.082
40,000712.SZ,20200630,12.26,12.54,12.18,12.5,12.24,0.26,2.1242,112980.45,139912.116
41,000712.SZ,20200629,12.5,12.62,12.16,12.24,12.59,-0.35,-2.78,99099.24,121851.511
42,000712.SZ,20200624,12.66,12.85,12.55,12.59,12.65,-0.06,-0.4743,88673.96,112199.876
43,000712.SZ,20200623,12.5,12.73,12.39,12.65,12.54,0.11,0.8772,124987.33,157149.609
44,000712.SZ,20200622,12.26,12.84,12.2,12.54,12.31,0.23,1.8684,187243.47,235769.402
45,000712.SZ,20200619,12.03,12.42,12.01,12.31,12.03,0.28,2.3275,116264.05,142032.948
46,000712.SZ,20200618,12.01,12.15,11.92,12.03,12.02,0.01,0.0832,61567.98,74153.042
47,000712.SZ,20200617,12.02,12.09,11.92,12.02,11.99,0.03,0.2502,49175.92,59027.043
48,000712.SZ,20200616,11.95,12.01,11.85,11.99,11.83,0.16,1.3525,60341.81,72023.287
49,000712.SZ,20200615,11.99,12.13,11.81,11.83,11.99,-0.16,-1.3344,80143.05,96000.805
50,000712.SZ,20200612,11.72,12.09,11.72,11.99,12.37,-0.38,-3.0719,117126.85,139947.436
51,000712.SZ,20200611,12.45,12.61,12.34,12.37,12.43,-0.06,-0.4827,60628.4,75574.408
52,000712.SZ,20200610,12.52,12.52,12.38,12.43,12.53,-0.1,-0.7981,41759.98,51929.678
53,000712.SZ,20200609,12.41,12.68,12.39,12.53,12.41,0.12,0.967,75025.5,94200.221
54,000712.SZ,20200608,12.54,12.59,12.36,12.41,12.56,-0.15,-1.1943,57674.34,71908.316
55,000712.SZ,20200605,12.5,12.62,12.36,12.56,12.56,0.0,0.0,69177.52,86406.949
56,000712.SZ,20200604,12.53,12.57,12.37,12.56,12.42,0.14,1.1272,60497.5,75379.724
57,000712.SZ,20200603,12.7,12.78,12.41,12.42,12.65,-0.23,-1.8182,87032.45,109378.69
58,000712.SZ,20200602,12.74,12.86,12.61,12.65,12.73,-0.08,-0.6284,85004.17,108063.632
59,000712.SZ,20200601,12.65,12.84,12.52,12.73,12.29,0.44,3.5801,162274.06,205959.733
60,000712.SZ,20200529,12.21,12.38,12.16,12.29,12.33,-0.04,-0.3244,63006.9,77363.64
61,000712.SZ,20200528,12.13,12.53,12.09,12.33,12.09,0.24,1.9851,95292.37,117577.325
62,000712.SZ,20200527,12.22,12.26,12.05,12.09,12.22,-0.13,-1.0638,48581.06,58894.088
63,000712.SZ,20200526,11.94,12.25,11.93,12.22,11.93,0.29,2.4308,62238.52,75095.787
64,000712.SZ,20200525,12.01,12.09,11.84,11.93,12.1,-0.17,-1.405,53388.2,63701.087
65,000712.SZ,20200522,11.97,12.55,11.95,12.1,11.96,0.14,1.1706,128716.45,157725.92
66,000712.SZ,20200521,12.1,12.14,11.94,11.96,12.08,-0.12,-0.9934,42097.95,50664.39
67,000712.SZ,20200520,12.16,12.24,12.05,12.08,12.16,-0.08,-0.6579,54605.91,66100.174
68,000712.SZ,20200519,12.24,12.28,12.11,12.16,12.12,0.04,0.33,48026.52,58474.607
69,000712.SZ,20200518,12.12,12.31,12.06,12.12,12.31,-0.19,-1.5435,86399.59,105125.793
70,000712.SZ,20200515,12.58,12.74,12.3,12.31,12.1,0.21,1.7355,135196.77,169357.096
71,000712.SZ,20200514,12.28,12.33,12.08,12.1,12.35,-0.25,-2.0243,61751.2,75106.506
72,000712.SZ,20200513,12.32,12.4,12.25,12.35,12.35,0.0,0.0,38561.15,47533.408
73,000712.SZ,20200512,12.46,12.57,12.28,12.35,12.45,-0.1,-0.8032,50440.27,62535.052
74,000712.SZ,20200511,12.54,12.63,12.36,12.45,12.54,-0.09,-0.7177,58217.57,72691.436
75,000712.SZ,20200508,12.49,12.75,12.37,12.54,12.36,0.18,1.4563,101253.25,127086.982
76,000712.SZ,20200507,12.33,12.48,12.33,12.36,12.33,0.03,0.2433,67074.64,83061.638
77,000712.SZ,20200506,12.1,12.34,12.03,12.33,12.28,0.05,0.4072,82374.25,100351.63
78,000712.SZ,20200430,12.06,12.3,11.99,12.28,11.91,0.37,3.1066,78395.22,95616.705
79,000712.SZ,20200429,11.9,12.07,11.85,11.91,11.99,-0.08,-0.6672,50279.82,60081.68
80,000712.SZ,20200428,12.21,12.27,11.75,11.99,12.07,-0.08,-0.6628,81765.94,98475.441
81,000712.SZ,20200427,11.98,12.23,11.97,12.07,11.97,0.1,0.8354,58190.79,70336.412
82,000712.SZ,20200424,12.33,12.39,11.91,11.97,12.32,-0.35,-2.8409,69443.29,84079.327
83,000712.SZ,20200423,12.43,12.48,12.3,12.32,12.47,-0.15,-1.2029,47299.11,58480.205
84,000712.SZ,20200422,12.28,12.57,12.28,12.47,12.26,0.21,1.7129,72806.37,90691.862
85,000712.SZ,20200421,12.55,12.59,12.2,12.26,12.61,-0.35,-2.7756,74221.17,91686.871
86,000712.SZ,20200420,12.67,12.71,12.54,12.61,12.59,0.02,0.1589,49469.75,62330.303
87,000712.SZ,20200417,12.78,12.8,12.58,12.59,12.65,-0.06,-0.4743,78279.34,99406.624
88,000712.SZ,20200416,12.6,12.83,12.55,12.65,12.59,0.06,0.4766,79845.49,101422.797
89,000712.SZ,20200415,12.8,12.85,12.58,12.59,12.87,-0.28,-2.1756,84230.31,106982.709
90,000712.SZ,20200414,12.67,12.91,12.62,12.87,12.61,0.26,2.0619,92947.27,118810.959
91,000712.SZ,20200413,12.8,12.83,12.57,12.61,12.86,-0.25,-1.944,65170.34,82605.447
92,000712.SZ,20200410,13.28,13.28,12.85,12.86,13.2,-0.34,-2.5758,111170.34,144302.669
93,000712.SZ,20200409,13.25,13.45,13.18,13.2,13.23,-0.03,-0.2268,137535.2,182771.458
94,000712.SZ,20200408,13.1,13.49,13.03,13.23,13.11,0.12,0.9153,156412.96,207949.845
95,000712.SZ,20200407,13.06,13.25,12.91,13.11,12.92,0.19,1.4706,157816.13,206492.221
96,000712.SZ,20200403,12.7,13.15,12.64,12.92,12.71,0.21,1.6522,135671.93,175894.881
97,000712.SZ,20200402,12.41,12.71,12.36,12.71,12.48,0.23,1.8429,74212.69,93072.026
98,000712.SZ,20200401,12.64,12.82,12.35,12.48,12.7,-0.22,-1.7323,84058.74,106152.609
99,000712.SZ,20200331,13.01,13.05,12.66,12.7,12.91,-0.21,-1.6266,85431.42,109695.067
100,000712.SZ,20200330,12.66,13.02,12.6,12.91,12.83,0.08,0.6235,108732.96,139522.392
101,000712.SZ,20200327,12.89,13.08,12.76,12.83,12.73,0.1,0.7855,97182.56,125386.952
102,000712.SZ,20200326,12.84,12.94,12.68,12.73,12.96,-0.23,-1.7747,77133.49,98765.261
103,000712.SZ,20200325,13.12,13.23,12.84,12.96,12.8,0.16,1.25,113837.42,147934.896
104,000712.SZ,20200324,12.83,12.92,12.54,12.8,12.54,0.26,2.0734,113118.45,144232.306
105,000712.SZ,20200323,12.65,12.92,12.47,12.54,13.14,-0.6,-4.5662,127010.41,160909.445
106,000712.SZ,20200320,12.98,13.19,12.85,13.14,12.88,0.26,2.0186,118514.25,154690.691
107,000712.SZ,20200319,12.73,13.11,12.6,12.88,12.75,0.13,1.0196,160962.38,206722.967
108,000712.SZ,20200318,13.4,13.5,12.75,12.75,13.28,-0.53,-3.991,162683.27,214566.96
109,000712.SZ,20200317,13.48,13.59,13.0,13.28,13.19,0.09,0.6823,158875.73,211619.042
110,000712.SZ,20200316,14.15,14.27,13.04,13.19,14.11,-0.92,-6.5202,207906.5,285436.505
111,000712.SZ,20200313,13.34,14.32,13.34,14.11,14.37,-0.26,-1.8093,231600.98,320146.593
112,000712.SZ,20200312,14.31,14.76,14.24,14.37,14.51,-0.14,-0.9649,179790.38,260078.085
113,000712.SZ,20200311,14.82,15.09,14.46,14.51,14.86,-0.35,-2.3553,216552.36,320836.415
114,000712.SZ,20200310,14.4,14.95,14.14,14.86,14.39,0.47,3.2662,255814.08,373864.458
115,000712.SZ,20200309,14.5,15.14,14.32,14.39,14.78,-0.39,-2.6387,252719.19,371325.135
116,000712.SZ,20200306,15.05,15.29,14.77,14.78,15.26,-0.48,-3.1455,210562.5,314864.381
117,000712.SZ,20200305,15.4,15.65,14.85,15.26,15.06,0.2,1.328,333601.15,509153.15
118,000712.SZ,20200304,14.56,15.07,14.56,15.06,14.74,0.32,2.171,222883.84,332450.299
119,000712.SZ,20200303,14.7,15.11,14.46,14.74,14.33,0.41,2.8611,264249.68,390356.363
120,000712.SZ,20200302,13.76,14.51,13.65,14.33,13.47,0.86,6.3846,225681.0,318265.69
121,000712.SZ,20200228,13.93,14.33,13.35,13.47,14.61,-1.14,-7.8029,279692.0,387363.951
122,000712.SZ,20200227,15.01,15.31,14.55,14.61,14.92,-0.31,-2.0777,285122.05,423846.004
123,000712.SZ,20200226,14.5,15.9,14.42,14.92,14.61,0.31,2.1218,465593.05,714031.79
124,000712.SZ,20200225,14.3,14.8,13.91,14.61,14.57,0.04,0.2745,288492.63,415070.166
125,000712.SZ,20200224,14.46,14.78,14.33,14.57,14.46,0.11,0.7607,244657.28,356132.523
126,000712.SZ,20200221,14.24,14.84,14.05,14.46,14.33,0.13,0.9072,328298.53,473796.981
127,000712.SZ,20200220,13.55,14.59,13.47,14.33,13.43,0.9,6.7014,324288.16,453670.252
128,000712.SZ,20200219,13.5,13.78,13.39,13.43,13.43,0.0,0.0,182390.75,248135.252
129,000712.SZ,20200218,13.34,13.59,13.2,13.43,13.35,0.08,0.5993,177474.78,237854.182
130,000712.SZ,20200217,13.03,13.43,12.95,13.35,12.79,0.56,4.3784,211025.31,278013.603
131,000712.SZ,20200214,12.58,12.97,12.52,12.79,12.57,0.22,1.7502,137639.64,175832.784
132,000712.SZ,20200213,12.88,12.94,12.56,12.57,12.84,-0.27,-2.1028,126137.93,160227.537
133,000712.SZ,20200212,12.71,12.96,12.52,12.84,12.71,0.13,1.0228,133515.9,170523.14
134,000712.SZ,20200211,12.91,13.02,12.64,12.71,12.82,-0.11,-0.858,115509.86,147896.293
135,000712.SZ,20200210,12.5,12.95,12.41,12.82,12.53,0.29,2.3144,149531.48,191099.226
136,000712.SZ,20200207,12.38,12.68,12.3,12.53,12.52,0.01,0.0799,143556.83,179525.947
137,000712.SZ,20200206,12.39,12.66,12.24,12.52,12.26,0.26,2.1207,179347.1,223282.37
138,000712.SZ,20200205,12.13,12.62,12.01,12.26,12.13,0.13,1.0717,165842.13,204502.709
139,000712.SZ,20200204,11.41,12.28,11.41,12.13,12.55,-0.42,-3.3466,219924.56,264848.275
140,000712.SZ,20200203,12.55,12.55,12.55,12.55,13.94,-1.39,-9.9713,19302.0,24224.01
141,000712.SZ,20200123,14.6,14.65,13.68,13.94,14.73,-0.79,-5.3632,170100.58,241445.706
142,000712.SZ,20200122,14.5,14.84,14.21,14.73,14.61,0.12,0.8214,131519.85,190796.565
143,000712.SZ,20200121,14.72,14.92,14.54,14.61,14.97,-0.36,-2.4048,129615.11,190795.175
144,000712.SZ,20200120,14.76,14.97,14.64,14.97,14.76,0.21,1.4228,113728.74,169035.104
145,000712.SZ,20200117,14.77,15.04,14.74,14.76,14.72,0.04,0.2717,107844.21,160338.747
146,000712.SZ,20200116,15.04,15.05,14.66,14.72,14.96,-0.24,-1.6043,113777.0,168571.03
147,000712.SZ,20200115,14.88,15.11,14.78,14.96,14.92,0.04,0.2681,124754.13,186521.482
148,000712.SZ,20200114,14.97,15.19,14.9,14.92,14.98,-0.06,-0.4005,154772.98,232798.824
149,000712.SZ,20200113,14.7,14.98,14.51,14.98,14.72,0.26,1.7663,141941.51,209610.506
150,000712.SZ,20200110,15.16,15.16,14.66,14.72,14.89,-0.17,-1.1417,133287.39,197890.255
151,000712.SZ,20200109,14.98,15.08,14.75,14.89,14.71,0.18,1.2237,153278.69,228649.995
152,000712.SZ,20200108,15.2,15.23,14.65,14.71,15.27,-0.56,-3.6673,218534.81,326172.004
153,000712.SZ,20200107,15.3,15.42,15.02,15.27,15.3,-0.03,-0.1961,221043.29,336331.652
154,000712.SZ,20200106,14.73,15.68,14.68,15.3,14.93,0.37,2.4782,325413.27,496930.16
155,000712.SZ,20200103,15.02,15.3,14.92,14.93,15.06,-0.13,-0.8632,204583.17,308384.727
156,000712.SZ,20200102,15.36,15.49,15.06,15.06,15.2,-0.14,-0.9211,321923.94,491545.524
157,000712.SZ,20191231,14.97,15.48,14.96,15.2,14.98,0.22,1.4686,287591.22,437945.938
158,000712.SZ,20191230,14.36,15.19,14.18,14.98,14.55,0.43,2.9553,316294.52,469486.975
159,000712.SZ,20191227,15.01,15.26,14.52,14.55,15.19,-0.64,-4.2133,334789.02,499120.117
