,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002926.SZ,20200825,12.99,13.16,12.8,12.89,12.93,-0.04,-0.3094,328795.13,427170.933
1,002926.SZ,20200824,13.29,13.29,12.91,12.93,13.11,-0.18,-1.373,326067.61,424695.963
2,002926.SZ,20200821,13.05,13.19,12.92,13.11,12.89,0.22,1.7067,403001.06,526651.83
3,002926.SZ,20200820,13.03,13.11,12.83,12.89,13.1,-0.21,-1.6031,393879.38,509840.095
4,002926.SZ,20200819,13.32,13.53,13.1,13.1,13.45,-0.35,-2.6022,555501.17,740464.228
5,002926.SZ,20200818,13.6,13.74,13.33,13.45,13.64,-0.19,-1.393,629977.38,850827.77
6,002926.SZ,20200817,12.92,13.98,12.92,13.64,12.75,0.89,6.9804,1242573.01,1670374.36
7,002926.SZ,20200814,12.61,12.81,12.44,12.75,12.72,0.03,0.2358,464439.12,586526.632
8,002926.SZ,20200813,12.88,12.96,12.56,12.72,12.92,-0.2,-1.548,699734.76,890798.975
9,002926.SZ,20200812,12.5,13.54,12.47,12.92,12.54,0.38,3.0303,1138354.21,1494232.496
10,002926.SZ,20200811,13.01,13.23,12.53,12.54,13.09,-0.55,-4.2017,479965.72,620216.478
11,002926.SZ,20200810,12.73,13.28,12.66,13.09,12.84,0.25,1.947,572329.94,744196.879
12,002926.SZ,20200807,13.06,13.14,12.59,12.84,13.2,-0.36,-2.7273,634597.68,817834.12
13,002926.SZ,20200806,12.83,13.28,12.58,13.2,12.83,0.37,2.8839,560589.26,723970.823
14,002926.SZ,20200805,12.78,12.92,12.65,12.83,12.9,-0.07,-0.5426,354100.03,452646.046
15,002926.SZ,20200804,13.07,13.24,12.8,12.9,13.05,-0.15,-1.1494,504565.79,656369.162
16,002926.SZ,20200803,13.0,13.08,12.73,13.05,12.75,0.3,2.3529,578546.3,747463.561
17,002926.SZ,20200731,12.35,12.92,12.31,12.75,12.42,0.33,2.657,571903.72,726555.11
18,002926.SZ,20200730,12.36,12.64,12.23,12.42,12.4,0.02,0.1613,450741.96,561361.629
19,002926.SZ,20200729,11.96,12.45,11.91,12.4,11.98,0.42,3.5058,473778.78,581930.382
20,002926.SZ,20200728,12.11,12.16,11.87,11.98,12.03,-0.05,-0.4156,316241.52,380117.423
21,002926.SZ,20200727,12.05,12.15,11.71,12.03,12.03,0.0,0.0,395646.5,473745.006
22,002926.SZ,20200724,12.97,13.1,11.98,12.03,12.92,-0.89,-6.8885,757596.59,944045.97
23,002926.SZ,20200723,12.76,13.08,12.5,12.92,12.97,-0.05,-0.3855,604888.27,773252.708
