,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601162.SH,20200825,7.04,7.09,6.93,6.96,7.0,-0.04,-0.5714,739397.41,517943.816
1,601162.SH,20200824,7.08,7.08,6.96,7.0,7.06,-0.06,-0.8499,594874.28,416685.777
2,601162.SH,20200821,7.01,7.09,6.96,7.06,6.96,0.1,1.4368,830440.85,583638.72
3,601162.SH,20200820,7.05,7.07,6.94,6.96,7.08,-0.12,-1.6949,893847.09,624758.783
4,601162.SH,20200819,7.16,7.24,7.07,7.08,7.18,-0.1,-1.3928,1184313.0,848291.398
5,601162.SH,20200818,7.21,7.29,7.13,7.18,7.25,-0.07,-0.9655,1291396.87,930341.41
6,601162.SH,20200817,7.1,7.4,7.08,7.25,6.99,0.26,3.7196,2300182.08,1661710.355
7,601162.SH,20200814,6.86,7.0,6.84,6.99,6.92,0.07,1.0116,922508.27,639208.595
8,601162.SH,20200813,6.93,7.04,6.88,6.92,6.93,-0.01,-0.1443,996525.85,692493.817
9,601162.SH,20200812,6.9,6.98,6.77,6.93,6.93,0.0,0.0,1088615.26,749664.683
10,601162.SH,20200811,7.22,7.27,6.9,6.93,7.21,-0.28,-3.8835,1866700.59,1324294.152
11,601162.SH,20200810,7.12,7.31,7.08,7.21,7.18,0.03,0.4178,1424817.29,1029229.311
12,601162.SH,20200807,7.29,7.36,7.09,7.18,7.42,-0.24,-3.2345,1638719.39,1182823.943
13,601162.SH,20200806,7.33,7.48,7.08,7.42,7.29,0.13,1.7833,1877168.83,1365868.639
14,601162.SH,20200805,7.35,7.38,7.23,7.29,7.38,-0.09,-1.2195,1205277.12,879322.058
15,601162.SH,20200804,7.54,7.55,7.35,7.38,7.54,-0.16,-2.122,1706357.15,1267142.766
16,601162.SH,20200803,7.32,7.55,7.21,7.54,7.18,0.36,5.0139,2441827.85,1805843.943
17,601162.SH,20200731,7.05,7.34,7.03,7.18,7.05,0.13,1.844,1796032.65,1295678.212
18,601162.SH,20200730,7.1,7.17,7.02,7.05,7.14,-0.09,-1.2605,1162929.58,824037.231
19,601162.SH,20200729,6.89,7.17,6.85,7.14,6.93,0.21,3.0303,1662108.27,1177109.877
